('154432895', '20170112114629', '8CAB8ECDA630', '00:26:2d:4b:6a:4d', 'http://archive-shop.vip.com/detail-1016862-154432895.html', 'vip', u'\u8fea\u5c14\xb7\u9a6c\u5947\u84dd\u8272\u62fc\u63a5\u6f6e\u6d41\u5c0f\u7acb\u9886\u5939\u514b\u5916\u5957', u'\u7537\u5f0f\u5916\u5957', u'\u8fea\u5c14\u2022\u9a6c\u5947\u7537\u58eb\u4e13\u573a') ('154432895', datetime.datetime(2017, 3, 15, 2, 43, 17, 799626), u'158')
('153115265', '20170112101521', '8CAB8ECCBB90', 'b8:97:5a:70:e3:84', 'http://archive-shop.vip.com/detail-1010421-153115265.html', 'vip', u'GIRDEAR\u9a7c\u8272\u7b80\u6d01\u65af\u6587\u957f\u6b3e\u957f\u8896\u7f8a\u6bdb\u5927\u8863', u'\u5973\u5f0f\u5927\u8863', u'\u54e5\u5f1fGIRDEAR\u5973\u88c5\u4e13\u573a') ('153115265', datetime.datetime(2017, 3, 15, 2, 43, 17, 786652), u'899')
('137589085', '20170112124659', '8CAB8E96A590', '00:21:97:cb:a8:8b', 'http://archive-shop.vip.com/detail-941226-137589085.html', 'vip', u'\u963f\u6069\u84dd\u62d3\u7537\u6b3e\u4fee\u8eab\u6bdb\u5462\u957f\u98ce\u8863', u'\u7537\u5f0f\u98ce\u8863', u'\u963f\u6069\u84dd\u62d3 ALT FINE ISM\u7537\u88c5\u4e13\u573a') ('137589085', datetime.datetime(2017, 3, 15, 2, 43, 17, 776507), u'209')
('153909239', '20170112091630', '8CAB8EFE4C48', '00:e0:4c:d9:22:e6', 'http://archive-shop.vip.com/detail-1021189-153909239.html', 'vip', u'7.MODIFIER\u5370\u82b1\u8fde\u5e3d\u4e2d\u957f\u6b3e\u7fbd\u7ed2\u670d\u9ed1\u8272', u'\u5973\u5f0f\u7fbd\u7ed2\u670d', u'\u62c9\u590f\u8d1d\u5c14\u65d7\u4e0b\u54c1\u724c\u5973\u88c5\u4e13\u573a') ('153909239', datetime.datetime(2017, 3, 15, 2, 43, 17, 747028), u'649')
('154059790', '20170112111403', '8CAB8ECD5D48', '18:cf:5e:1c:0c:a8', 'http://archive-shop.vip.com/detail-1009525-154059790.html', 'vip', u'\u6cab\u6657\u4f9d\u7f8e\u65f6\u5c1a\u4f11\u95f2\u663e\u7626\u4e2d\u957f\u6b3e\u68c9\u8863\u7070\u8272', u'\u5973\u5f0f\u68c9\u8863', u'\u6cab\u6657\u4f9d\u7f8e\u5973\u88c5\u4e13\u573a') ('154059790', datetime.datetime(2017, 3, 15, 2, 43, 17, 746059), u'269')
('153115583', '20170112110851', '8CAB8ECCBB90', 'b8:97:5a:70:e3:84', 'http://archive-shop.vip.com/detail-1010421-153115583.html', 'vip', u'GIRDEAR\u9ed1\u8272\u4fee\u8eab\u663e\u7626\u4f11\u95f2\u88e4', u'\u5973\u5f0f\u4f11\u95f2\u88e4', u'\u54e5\u5f1fGIRDEAR\u5973\u88c5\u4e13\u573a') ('153115583', datetime.datetime(2017, 3, 15, 2, 43, 17, 708664), u'299')
('153587802', '20170112123314', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-980809-153587802.html', 'vip', u'\u521d\u8bed\u5b57\u6bcd\u5370\u82b1\u7b80\u7ea6\u957f\u8896T\u6064\u7c73\u767d', u'\u5973\u5f0fT\u6064', u'\u521d\u8bed\u5973\u88c5\u4e13\u573a') ('153587802', datetime.datetime(2017, 3, 15, 2, 43, 17, 533497), u'68')
('153429837', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153429837.html', 'vip', u'\u674e\u5b81\u7537\u6b3e\u9ed1/\u8367\u5149\u4eae\u7eff\u51cf\u9707\u8dd1\u978b \u8212\u9002\u7545\u8dd1', u'\u7537\u6b3e\u8dd1\u6b65\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153429837', datetime.datetime(2017, 3, 15, 2, 43, 17, 527521), u'110')
('153621036', '20170112111424', '8CAB8ED70ED0', '00:e0:70:45:87:18', 'http://archive-shop.vip.com/detail-1009232-153621036.html', 'vip', u'\u4e1d\u67cf\u820d\u5973\u9152\u7ea2\u8272\u7ffb\u9886\u4e2d\u957f\u6b3e\u5916\u5957(\u914d\u8170\u5e26)', u'\u5973\u5f0f\u5916\u5957', u'\u4e1d\u67cf\u820d\u5973\u88c5\u4e13\u573a') ('153621036', datetime.datetime(2017, 3, 15, 2, 43, 17, 502833), u'359')
('153599956', '20170112123314', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-980809-153599956.html', 'vip', u'\u521d\u8bed\u3010\u6625\u65b0\u6b3e\u3011\u4e94\u89d2\u661f\u6ee1\u5370\u4f11\u95f2\u957f\u8896\u536b\u8863\u7c73\u767d\u8272', u'\u5973\u5f0f\u536b\u8863', u'\u521d\u8bed\u5973\u88c5\u4e13\u573a') ('153599956', datetime.datetime(2017, 3, 15, 2, 43, 17, 502612), u'148')
('153431777', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153431777.html', 'vip', u'\u674e\u5b81\u7537\u6b3e\u6d4a\u666e\u84dd/\u96ea\u767d\u7ecf\u5178\u4f11\u95f2\u978b \u4f11\u95f2\u8212\u9002', u'\u7537\u6b3e\u8fd0\u52a8\u4f11\u95f2\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153431777', datetime.datetime(2017, 3, 15, 2, 43, 17, 501881), u'112')
('153115550', '20170112110851', '8CAB8ECCBB90', 'b8:97:5a:70:e3:84', 'http://archive-shop.vip.com/detail-1010421-153115550.html', 'vip', u'GIRDEAR\u7ea2/\u591a\u8272\u6c14\u8d28\u4f18\u96c5\u767e\u642d\u7f8a\u6bdb\u56f4\u5dfe', u'\u5973\u6b3e\u56f4\u5dfe/\u62ab\u80a9', u'\u54e5\u5f1fGIRDEAR\u5973\u88c5\u4e13\u573a') ('153115550', datetime.datetime(2017, 3, 15, 2, 43, 17, 446465), u'249')
('153696182', '20170112114031', '8CAB8EB9A3A8', '78:92:9c:86:f0:14', 'http://archive-shop.vip.com/detail-1010320-153696182.html', 'vip', u'\u732b\u4eba\u9ed1\u82723/4\u65e0\u94a2\u5708\u8212\u9002\u805a\u62e2\u6587\u80f8', u'\u6587\u80f8', u'\u732b\u4ebaMiiow\u5185\u8863\u5bb6\u5c45\u670d\u7537\u5973\u6df7\u5408\u6e05\u4ed3\u4e13\u573a') ('153696182', datetime.datetime(2017, 3, 15, 2, 43, 17, 392505), u'149')
('153621449', '20170112111424', '8CAB8ED70ED0', '00:e0:70:45:87:18', 'http://archive-shop.vip.com/detail-1009232-153621449.html', 'vip', u'\u4e1d\u67cf\u820d\u5973\u7ea2\u8272\u4e2d\u957f\u6b3e\u5927\u53e3\u888b\u5bbd\u677e\u9488\u7ec7\u886b', u'\u5973\u5f0f\u9488\u7ec7\u886b', u'\u4e1d\u67cf\u820d\u5973\u88c5\u4e13\u573a') ('153621449', datetime.datetime(2017, 3, 15, 2, 43, 17, 234197), u'239')
('152612870', '20170112093128', '8CAB8EDA0230', 'c8:9c:dc:b7:17:0d', 'http://archive-shop.vip.com/detail-1030854-152612870.html', 'vip', u'\u7f8e\u4e1d\u7eba\u6b27\u5f0f\u91d1\u7ebf\u63d0\u82b1\u591a\u7528\u5dfe150*210cm-\u591a\u8272\u53ef\u9009', u'\u684c\u5e03\u7f69\u4ef6', u'\u5e03\u827a\u88c5\u9970\u7f8e\u5bb6-\u7f8e\u4e1d\u7eba') ('152612870', datetime.datetime(2017, 3, 15, 2, 43, 17, 227542), u'196')
('153433453', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016113-153433453.html', 'vip', u'\u674e\u5b81\u5973\u6b3e\u706b\u9f99\u7ea2/\u65b0\u57fa\u7840\u9ed1\u51cf\u9707\u8dd1\u978b \u8212\u9002\u7545\u8dd1', u'\u5973\u6b3e\u8dd1\u6b65\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u5973\u58eb\u4e13\u573a') ('153433453', datetime.datetime(2017, 3, 15, 2, 43, 17, 194509), u'109')
('153954141', '20170112003148', '8CAB8EABDA38', '08:10:79:56:9c:1e', 'http://archive-shop.vip.com/detail-1040614-153954141.html', 'vip', u'\u5df4\u8def\u58eb\u8fdb\u53e3\u7537\u58eb\u6df1\u68d5\u8272\u6454\u7eb9\u725b\u76ae\u660e\u7ebf\u7cfb\u5e26\u4f11\u95f2\u978b', u'\u7537\u5f0f\u4f11\u95f2\u978b', u'\u610f\u5927\u5229\u54c1\u724c\u7537\u5973\u978b\u6df7\u5408\u4e13\u573a') ('153954141', datetime.datetime(2017, 3, 15, 2, 43, 17, 123358), u'1680')
('153696115', '20170112114031', '8CAB8EB9A3A8', '78:92:9c:86:f0:14', 'http://archive-shop.vip.com/detail-1010320-153696115.html', 'vip', u'\u732b\u4eba\u80a4\u82723/4\u65e0\u94a2\u5708\u8212\u9002\u805a\u62e2\u6587\u80f8', u'\u6587\u80f8', u'\u732b\u4ebaMiiow\u5185\u8863\u5bb6\u5c45\u670d\u7537\u5973\u6df7\u5408\u6e05\u4ed3\u4e13\u573a') ('153696115', datetime.datetime(2017, 3, 15, 2, 43, 17, 68478), u'119')
('138143458', '20170112110238', '8CAB8ECD25E0', '00:80:1a:00:16:3c', 'http://archive-shop.vip.com/detail-959158-138143458.html', 'vip', u'\u6cf0\u56fdNITTAYA\u5929\u7136\u4e73\u80f6\u8774\u8776\u6309\u6469\u679511\xd736\xd757cm', u'\u6795\u5934', u'Nittaya\u6cf0\u56fd\u4e73\u80f6\u6795\u4e13\u573a') ('138143458', datetime.datetime(2017, 3, 15, 2, 43, 17, 53537), u'358')
('153894539', '20170112125102', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-1021611-153894539.html', 'vip', u'\u7c73\u7687\u6a3d\u9886\u7f8a\u7ed2\u5973\u886b', u'\u5973\u5f0f\u6bdb\u8863', u'\u7c73\u7687\u7f8a\u7ed2\u7537\u5973\u6df7\u5408\u4e13\u573a') ('153894539', datetime.datetime(2017, 3, 15, 2, 43, 16, 917915), u'850')
('153587324', '20170112123314', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-980809-153587324.html', 'vip', u'\u521d\u8bed\u3010\u8fea\u58eb\u5c3c\u5408\u4f5c\u6b3e\u3011\u7ae5\u8bdd\u4eba\u7269\u5370\u82b1\u6293\u7ed2\u536b\u8863\u6df1\u82b1\u7070', u'\u5973\u5f0f\u536b\u8863', u'\u521d\u8bed\u5973\u88c5\u4e13\u573a') ('153587324', datetime.datetime(2017, 3, 15, 2, 43, 16, 916862), u'169')
('154813465', '20170112103744', '8CAB8EE971C8', '34:80:b3:8b:8e:75', 'http://archive-shop.vip.com/detail-1039801-154813465.html', 'vip', u'\u4f0a\u8299\u4e3d\u97e9\u7248\u4f11\u95f2T\u6064', u'\u5973\u5f0fT\u6064', u'\u4f0a\u8299\u4e3deifini\u5973\u88c5\u4e13\u573a') ('154813465', datetime.datetime(2017, 3, 15, 2, 43, 16, 887508), u'249')
('153587064', '20170112123314', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-980809-153587064.html', 'vip', u'\u521d\u8bed\u5bbd\u677e\u649e\u8272\u6263\u6587\u827a\u957f\u8896\u886c\u8863\u5b9d\u84dd', u'\u5973\u5f0f\u886c\u886b', u'\u521d\u8bed\u5973\u88c5\u4e13\u573a') ('153587064', datetime.datetime(2017, 3, 15, 2, 43, 16, 867661), u'148')
('153434397', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153434397.html', 'vip', u'\u674e\u5b81\u8f7b\u76c8\u7f13\u9707 \u4e2d\u6027\u7ae5\u6b3e\u84dd\u914d\u4eae\u7eff\u8272\u8fd0\u52a8\u978b', u'\u4e2d\u6027\u513f\u7ae5\u8fd0\u52a8/\u6237\u5916/\u4f11\u95f2\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153434397', datetime.datetime(2017, 3, 15, 2, 43, 16, 865380), u'97')
