('153619649', '20170117130829', '8CAB8ECFA420', '70:14:a6:93:1d:f1', 'http://archive-shop.vip.com/detail-1009232-153619649.html', 'vip', '\xe4\xb8\x9d\xe6\x9f\x8f\xe8\x88\x8d\xe5\xa5\xb3\xe9\xbb\x91\xe8\x89\xb2\xe6\xb0\x94\xe8\xb4\xa8\xe9\x9c\xb2\xe8\x82\xa9\xe6\x94\xb6\xe8\x85\xb0\xe8\xbf\x9e\xe8\xa1\xa3\xe8\xa3\x99', '\xe8\xbf\x9e\xe8\xa1\xa3\xe8\xa3\x99', '\xe4\xb8\x9d\xe6\x9f\x8f\xe8\x88\x8d\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153619649', datetime.datetime(2017, 3, 14, 23, 23, 35, 298246), '179')
('156083581', '20170117162407', '8CAB8EBEE850', '9c:fb:d5:e2:34:97', 'http://archive-shop.vip.com/detail-1019600-156083581.html', 'vip', '\xe4\xbe\x9d\xe6\x80\x9dQ\xe5\xa5\xb3\xe6\xac\xbe\xe9\x87\x91\xe5\xb1\x9e\xe6\x96\xb9\xe6\x89\xa3\xe5\xa4\xa9\xe9\xb9\x85\xe7\xbb\x92\xe9\x9d\xa2\xe6\x96\xb9\xe5\xa4\xb4\xe7\xb2\x97\xe8\xb7\x9f\xe9\x9e\x8b\xe9\xbb\x91\xe8\x89\xb2', '\xe5\x8d\x95\xe9\x9e\x8b', '\xe4\xbe\x9d\xe6\x80\x9dQexull\xe5\xa5\xb3\xe9\x9e\x8b\xe4\xb8\x93\xe5\x9c\xba') ('156083581', datetime.datetime(2017, 3, 14, 23, 23, 35, 292297), '178')
('155950535', '20170117124315', '8CAB8ED304A8', '00:26:82:41:5c:34', 'http://archive-shop.vip.com/detail-1000333-155950535.html', 'vip', '\xe8\x89\xbe\xe6\xac\xa7\xe5\x94\xaf\xe9\xbb\x91\xe8\x89\xb2\xe6\x97\xb6\xe5\xb0\x9a\xe7\x94\x9c\xe7\xbe\x8e\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xa5\xb3\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe8\x89\xbe\xe6\xac\xa7\xe5\x94\xafAIOV\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('155950535', datetime.datetime(2017, 3, 14, 23, 23, 35, 279399), '297')
('155583796', '20170117165058', '8CAB8EC58858', '20:c9:d0:d7:15:2b', 'http://archive-shop.vip.com/detail-1032723-155583796.html', 'vip', 'LIVING MORE\xe9\x9f\xa9\xe7\x89\x88\xe6\x97\xb6\xe5\xb0\x9a\xe5\xae\xb6\xe5\xb1\x85\xe5\x9b\xb4\xe8\xa3\x99', '\xe5\x85\xb6\xe4\xbb\x96\xe6\xb8\x85\xe6\xb4\x81\xe5\xb7\xa5\xe5\x85\xb7', 'Living MORE\xe6\x97\xb6\xe5\xb0\x9a\xe5\x8e\xa8\xe5\x8d\xab\xe4\xb8\x93\xe5\x9c\xba') ('155583796', datetime.datetime(2017, 3, 14, 23, 23, 35, 236355), '39')
('155583796', '20170117145450', '8CAB8EC58858', '20:c9:d0:d7:15:2b', 'http://archive-shop.vip.com/detail-1032723-155583796.html', 'vip', 'LIVING MORE\xe9\x9f\xa9\xe7\x89\x88\xe6\x97\xb6\xe5\xb0\x9a\xe5\xae\xb6\xe5\xb1\x85\xe5\x9b\xb4\xe8\xa3\x99', '\xe5\x85\xb6\xe4\xbb\x96\xe6\xb8\x85\xe6\xb4\x81\xe5\xb7\xa5\xe5\x85\xb7', 'Living MORE\xe6\x97\xb6\xe5\xb0\x9a\xe5\x8e\xa8\xe5\x8d\xab\xe4\xb8\x93\xe5\x9c\xba') ('155583796', datetime.datetime(2017, 3, 14, 23, 23, 35, 201598), '39')
('149852470', '20170117135945', '8CAB8EC58858', '20:c9:d0:d7:15:2b', 'http://archive-shop.vip.com/detail-1021369-149852470.html', 'vip', 'JM\xe6\xb8\x90\xe5\x8f\x98\xe8\x89\xb2\xe6\x99\xb6\xe9\x92\xbb\xe5\xa5\xb3\xe7\xa5\x9e\xe7\x8e\xbb\xe7\x92\x83\xe6\x9d\xaf350ML', '\xe5\x85\xb6\xe4\xbb\x96\xe6\x9d\xaf\xe5\xa3\xb6', 'JM\xe5\xae\xb6\xe5\xb1\x85\xe7\x94\xa8\xe5\x93\x81\xe4\xb8\x93\xe5\x9c\xba') ('149852470', datetime.datetime(2017, 3, 14, 23, 23, 35, 95436), '39')
('155737082', '20170117132651', '8CAB8ECF2AE0', '48:d2:24:4c:e2:d9', 'http://archive-shop.vip.com/detail-1027805-155737082.html', 'vip', '\xe5\xb0\x9a\xe9\x9d\x99\xe7\xb2\x89\xe8\x89\xb2\xe6\x97\xb6\xe5\xb0\x9a\xe7\xbf\xbb\xe9\xa2\x86\xe7\xae\x80\xe7\xba\xa6\xe5\x8f\xa3\xe8\xa2\x8b\xe9\x95\xbf\xe8\xa2\x96\xe6\xaf\x9b\xe5\x91\xa2\xe5\xa4\xa7\xe8\xa1\xa3', '\xe5\xa5\xb3\xe5\xbc\x8f\xe5\xa4\xa7\xe8\xa1\xa3', '\xe5\xb0\x9a\xe9\x9d\x99\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('155737082', datetime.datetime(2017, 3, 14, 23, 23, 34, 927159), '438')
('154265449', '20170117141416', '8CAB8EC58858', '20:c9:d0:d7:15:2b', 'http://archive-shop.vip.com/detail-1038248-154265449.html', 'vip', '\xe6\x97\xa5\xe5\x85\x89\xe7\x94\x9f\xe6\xb4\xbb\xe7\x83\x9b\xe5\x8f\xb0-\xe6\xad\xa3\xe6\x96\xb9\xe5\xbd\xa2', '\xe5\xae\xb6\xe5\xb1\x85\xe6\x91\x86\xe4\xbb\xb6', '\xe6\x97\xa5\xe5\x85\x89\xe7\x94\x9f\xe6\xb4\xbb\xe5\xb1\x85\xe5\xae\xb6\xe8\xbd\xaf\xe9\xa5\xb0\xe4\xb8\x93\xe5\x9c\xba') ('154265449', datetime.datetime(2017, 3, 14, 23, 23, 34, 904606), '29')
('152396068', '20170117141115', '8CAB8EC58858', '20:c9:d0:d7:15:2b', 'http://archive-shop.vip.com/detail-1027629-152396068.html', 'vip', '\xe6\x97\xa5\xe5\x85\x89\xe7\x94\x9f\xe6\xb4\xbb\xe7\x83\x9b\xe5\x8f\xb0-\xe6\xad\xa3\xe6\x96\xb9\xe5\xbd\xa2', '\xe5\xae\xb6\xe5\xb1\x85\xe6\x91\x86\xe4\xbb\xb6', '\xe6\x97\xa5\xe5\x85\x89\xe7\x94\x9f\xe6\xb4\xbb\xe5\xb1\x85\xe5\xae\xb6\xe8\xbd\xaf\xe9\xa5\xb0\xe4\xb8\x93\xe5\x9c\xba') ('152396068', datetime.datetime(2017, 3, 14, 23, 23, 34, 850183), '29')
('157549300', '20170120211301', '006B8EE417D0', 'd8:cb:8a:79:81:e5', 'http://archive-shop.vip.com/detail-1045965-157549300.html', 'vip', '\xe5\xbe\xb7\xc2\xb7\xe7\x8e\x9b\xe7\xba\xb3\xe6\xb5\x85\xe5\x8d\xa1\xe5\x85\xb6\xe8\x89\xb2\xe5\x8f\x8c\xe6\x8e\x92\xe6\x89\xa3\xe5\x8f\xa3\xe8\xa2\x8b\xe9\x95\xbf\xe6\xac\xbe\xe6\xaf\x9b\xe5\x91\xa2\xe5\xa4\x96\xe5\xa5\x97', '\xe5\xa5\xb3\xe5\xbc\x8f\xe5\xa4\x96\xe5\xa5\x97', '\xe5\xbe\xb7\xc2\xb7\xe7\x8e\x9b\xe7\xba\xb3\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('157549300', datetime.datetime(2017, 3, 14, 23, 23, 34, 809814), '529')
