20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143676.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149970730.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143543.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149703964.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-147989902.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-148970403.html
20170101104423 8CAB8EF5C8C8 f8:23:b2:93:4e:6e http://archive-shop.vip.com/detail-0-149821084.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143598.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-147376621.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-147376749.html
20170101104141 8CAB8EF1DCF0 68:3e:34:be:80:35 http://archive-shop.vip.com/detail-0-148223371.html
20170101104436 8CAB8EEB9640 c8:25:e1:3a:01:99 http://archive-shop.vip.com/detail-0-147990347.html
20170101104934 8CAB8EEC9308 9c:fb:d5:5d:cb:46 http://archive-shop.vip.com/detail-0-149779482.html
20170101105518 8CAB8EF5C8C8 f8:23:b2:93:4e:6e http://archive-shop.vip.com/detail-0-148036267.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149526027.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-149304779.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-148970322.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-147376656.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149526009.html
20170101170219 8CAB8EA45FD0 e0:dd:c0:87:24:30 http://archive-shop.vip.com/detail-0-149143153.html
20170101170219 8CAB8EA45FD0 e0:dd:c0:87:24:30 http://archive-shop.vip.com/detail-0-149143199.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149703904.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149703800.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149703973.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-148970211.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-149304674.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149703798.html
